project,page_title,date,pageviews
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-06-15,7
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-06-16,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-06-17,5
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-06-18,4
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-06-19,4
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-06-20,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-06-21,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-06-22,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-06-23,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-06-24,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-06-25,4
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-06-26,5
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-06-27,4
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-06-28,5
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-06-29,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-06-30,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-07-01,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-07-02,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-07-03,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-07-04,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-07-05,3
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-07-06,4
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-07-07,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-07-08,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-07-09,3
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-07-10,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-07-11,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-07-12,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-07-14,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-07-15,7
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-07-16,8
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-07-17,10
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-07-18,5
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-07-19,4
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-07-20,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-07-21,4
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-07-22,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-07-23,4
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-07-24,8
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-07-25,9
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-07-26,4
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-07-27,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-07-28,3
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-07-29,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-07-30,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-07-31,7
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-08-01,5
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-08-02,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-08-03,4
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-08-04,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-08-05,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-08-06,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-08-07,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-08-08,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-08-09,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-08-11,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-08-12,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-08-13,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-08-15,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-08-16,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-08-17,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-08-18,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-08-19,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-08-20,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-08-21,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-08-23,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-08-24,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-08-25,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-08-26,3
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-08-27,3
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-08-28,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-08-29,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-08-30,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-08-31,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-09-01,3
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-09-02,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-09-03,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-09-04,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-09-05,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-09-06,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-09-07,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-09-08,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-09-09,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-09-10,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-09-11,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-09-12,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-09-14,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-09-15,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-09-16,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-09-17,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-09-18,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-09-19,3
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-09-20,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-09-21,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-09-22,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-09-23,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-09-24,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-09-25,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-09-26,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-09-27,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-09-30,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-10-01,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-10-02,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-10-04,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-10-05,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-10-06,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-10-07,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-10-08,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-10-09,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-10-10,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-10-11,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-10-12,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-10-13,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-10-14,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-10-15,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-10-16,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-10-17,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-10-18,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-10-19,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-10-20,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-10-21,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-10-22,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-10-23,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-10-24,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-10-25,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-10-26,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-10-27,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-10-28,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-10-29,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-10-30,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-10-31,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-11-01,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-11-02,4
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-11-03,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-11-04,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-11-05,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-11-06,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-11-07,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-11-08,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-11-09,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-11-11,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-11-12,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-11-13,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-11-15,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-11-16,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-11-19,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-11-20,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-11-21,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-11-22,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-11-23,3
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-11-24,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-11-25,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-11-26,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-11-27,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-11-28,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-11-29,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-11-30,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-12-01,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-12-02,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-12-03,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-12-04,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-12-05,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-12-06,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-12-07,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-12-08,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-12-09,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-12-10,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-12-11,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-12-12,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-12-13,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-12-15,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-12-16,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-12-18,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-12-19,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-12-20,4
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-12-21,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-12-22,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-12-23,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-12-24,3
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-12-25,3
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-12-26,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-12-27,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-12-28,1
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-12-29,2
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-12-30,0
kn.wikipedia,ಮಂಕಿಪಾಕ್ಸ್,2022-12-31,1
kn.wikipedia,ಆಯಾಸ,2022-01-01,0
kn.wikipedia,ಆಯಾಸ,2022-01-02,0
kn.wikipedia,ಆಯಾಸ,2022-01-03,0
kn.wikipedia,ಆಯಾಸ,2022-01-04,1
kn.wikipedia,ಆಯಾಸ,2022-01-05,1
kn.wikipedia,ಆಯಾಸ,2022-01-06,1
kn.wikipedia,ಆಯಾಸ,2022-01-07,0
kn.wikipedia,ಆಯಾಸ,2022-01-08,0
kn.wikipedia,ಆಯಾಸ,2022-01-09,0
kn.wikipedia,ಆಯಾಸ,2022-01-10,1
kn.wikipedia,ಆಯಾಸ,2022-01-11,1
kn.wikipedia,ಆಯಾಸ,2022-01-12,0
kn.wikipedia,ಆಯಾಸ,2022-01-13,0
kn.wikipedia,ಆಯಾಸ,2022-01-14,0
kn.wikipedia,ಆಯಾಸ,2022-01-15,0
kn.wikipedia,ಆಯಾಸ,2022-01-17,0
kn.wikipedia,ಆಯಾಸ,2022-01-18,2
kn.wikipedia,ಆಯಾಸ,2022-01-19,3
kn.wikipedia,ಆಯಾಸ,2022-01-20,1
kn.wikipedia,ಆಯಾಸ,2022-01-21,0
kn.wikipedia,ಆಯಾಸ,2022-01-22,1
kn.wikipedia,ಆಯಾಸ,2022-01-23,0
kn.wikipedia,ಆಯಾಸ,2022-01-24,0
kn.wikipedia,ಆಯಾಸ,2022-01-25,0
kn.wikipedia,ಆಯಾಸ,2022-01-26,0
kn.wikipedia,ಆಯಾಸ,2022-01-27,2
kn.wikipedia,ಆಯಾಸ,2022-01-28,0
kn.wikipedia,ಆಯಾಸ,2022-01-29,0
kn.wikipedia,ಆಯಾಸ,2022-01-30,1
kn.wikipedia,ಆಯಾಸ,2022-01-31,0
kn.wikipedia,ಆಯಾಸ,2022-02-01,1
kn.wikipedia,ಆಯಾಸ,2022-02-02,0
kn.wikipedia,ಆಯಾಸ,2022-02-03,1
kn.wikipedia,ಆಯಾಸ,2022-02-04,0
kn.wikipedia,ಆಯಾಸ,2022-02-05,0
kn.wikipedia,ಆಯಾಸ,2022-02-06,0
kn.wikipedia,ಆಯಾಸ,2022-02-07,1
kn.wikipedia,ಆಯಾಸ,2022-02-08,0
kn.wikipedia,ಆಯಾಸ,2022-02-09,2
kn.wikipedia,ಆಯಾಸ,2022-02-11,4
kn.wikipedia,ಆಯಾಸ,2022-02-13,4
kn.wikipedia,ಆಯಾಸ,2022-02-14,0
kn.wikipedia,ಆಯಾಸ,2022-02-15,1
kn.wikipedia,ಆಯಾಸ,2022-02-16,1
kn.wikipedia,ಆಯಾಸ,2022-02-17,0
kn.wikipedia,ಆಯಾಸ,2022-02-18,0
kn.wikipedia,ಆಯಾಸ,2022-02-19,2
kn.wikipedia,ಆಯಾಸ,2022-02-21,0
kn.wikipedia,ಆಯಾಸ,2022-02-22,0
kn.wikipedia,ಆಯಾಸ,2022-02-23,0
kn.wikipedia,ಆಯಾಸ,2022-02-25,0
kn.wikipedia,ಆಯಾಸ,2022-02-26,3
kn.wikipedia,ಆಯಾಸ,2022-02-27,2
kn.wikipedia,ಆಯಾಸ,2022-02-28,0
kn.wikipedia,ಆಯಾಸ,2022-03-01,4
kn.wikipedia,ಆಯಾಸ,2022-03-02,4
kn.wikipedia,ಆಯಾಸ,2022-03-03,0
kn.wikipedia,ಆಯಾಸ,2022-03-04,0
kn.wikipedia,ಆಯಾಸ,2022-03-05,1
kn.wikipedia,ಆಯಾಸ,2022-03-06,1
kn.wikipedia,ಆಯಾಸ,2022-03-07,3
kn.wikipedia,ಆಯಾಸ,2022-03-08,4
kn.wikipedia,ಆಯಾಸ,2022-03-09,0
kn.wikipedia,ಆಯಾಸ,2022-03-10,1
kn.wikipedia,ಆಯಾಸ,2022-03-11,0
kn.wikipedia,ಆಯಾಸ,2022-03-12,2
kn.wikipedia,ಆಯಾಸ,2022-03-13,5
kn.wikipedia,ಆಯಾಸ,2022-03-14,7
kn.wikipedia,ಆಯಾಸ,2022-03-15,6
kn.wikipedia,ಆಯಾಸ,2022-03-16,1
kn.wikipedia,ಆಯಾಸ,2022-03-17,0
kn.wikipedia,ಆಯಾಸ,2022-03-18,1
kn.wikipedia,ಆಯಾಸ,2022-03-19,0
kn.wikipedia,ಆಯಾಸ,2022-03-20,0
kn.wikipedia,ಆಯಾಸ,2022-03-21,2
kn.wikipedia,ಆಯಾಸ,2022-03-22,0
kn.wikipedia,ಆಯಾಸ,2022-03-23,1
kn.wikipedia,ಆಯಾಸ,2022-03-24,1
kn.wikipedia,ಆಯಾಸ,2022-03-25,0
kn.wikipedia,ಆಯಾಸ,2022-03-26,0
kn.wikipedia,ಆಯಾಸ,2022-03-27,0
kn.wikipedia,ಆಯಾಸ,2022-03-28,0
kn.wikipedia,ಆಯಾಸ,2022-03-29,2
kn.wikipedia,ಆಯಾಸ,2022-03-30,0
kn.wikipedia,ಆಯಾಸ,2022-03-31,2
kn.wikipedia,ಆಯಾಸ,2022-04-01,0
kn.wikipedia,ಆಯಾಸ,2022-04-02,0
kn.wikipedia,ಆಯಾಸ,2022-04-03,1
kn.wikipedia,ಆಯಾಸ,2022-04-04,0
kn.wikipedia,ಆಯಾಸ,2022-04-05,0
kn.wikipedia,ಆಯಾಸ,2022-04-06,0
kn.wikipedia,ಆಯಾಸ,2022-04-07,0
kn.wikipedia,ಆಯಾಸ,2022-04-08,0
kn.wikipedia,ಆಯಾಸ,2022-04-09,0
kn.wikipedia,ಆಯಾಸ,2022-04-10,1
kn.wikipedia,ಆಯಾಸ,2022-04-11,0
kn.wikipedia,ಆಯಾಸ,2022-04-12,0
kn.wikipedia,ಆಯಾಸ,2022-04-13,0
kn.wikipedia,ಆಯಾಸ,2022-04-14,0
kn.wikipedia,ಆಯಾಸ,2022-04-15,1
kn.wikipedia,ಆಯಾಸ,2022-04-16,0
kn.wikipedia,ಆಯಾಸ,2022-04-17,0
kn.wikipedia,ಆಯಾಸ,2022-04-18,0
kn.wikipedia,ಆಯಾಸ,2022-04-19,1
kn.wikipedia,ಆಯಾಸ,2022-04-20,0
kn.wikipedia,ಆಯಾಸ,2022-04-21,0
kn.wikipedia,ಆಯಾಸ,2022-04-22,0
kn.wikipedia,ಆಯಾಸ,2022-04-23,2
kn.wikipedia,ಆಯಾಸ,2022-04-24,0
kn.wikipedia,ಆಯಾಸ,2022-04-25,0
kn.wikipedia,ಆಯಾಸ,2022-04-26,0
kn.wikipedia,ಆಯಾಸ,2022-04-27,1
kn.wikipedia,ಆಯಾಸ,2022-04-28,0
kn.wikipedia,ಆಯಾಸ,2022-04-29,0
kn.wikipedia,ಆಯಾಸ,2022-04-30,0
kn.wikipedia,ಆಯಾಸ,2022-05-01,2
kn.wikipedia,ಆಯಾಸ,2022-05-02,2
kn.wikipedia,ಆಯಾಸ,2022-05-03,1
kn.wikipedia,ಆಯಾಸ,2022-05-04,0
kn.wikipedia,ಆಯಾಸ,2022-05-05,0
kn.wikipedia,ಆಯಾಸ,2022-05-06,0
kn.wikipedia,ಆಯಾಸ,2022-05-07,0
kn.wikipedia,ಆಯಾಸ,2022-05-08,0
kn.wikipedia,ಆಯಾಸ,2022-05-09,4
kn.wikipedia,ಆಯಾಸ,2022-05-10,1
kn.wikipedia,ಆಯಾಸ,2022-05-11,2
kn.wikipedia,ಆಯಾಸ,2022-05-12,0
kn.wikipedia,ಆಯಾಸ,2022-05-13,1
kn.wikipedia,ಆಯಾಸ,2022-05-14,1
kn.wikipedia,ಆಯಾಸ,2022-05-15,1
kn.wikipedia,ಆಯಾಸ,2022-05-16,0
kn.wikipedia,ಆಯಾಸ,2022-05-17,0
kn.wikipedia,ಆಯಾಸ,2022-05-18,0
kn.wikipedia,ಆಯಾಸ,2022-05-19,0
kn.wikipedia,ಆಯಾಸ,2022-05-20,0
kn.wikipedia,ಆಯಾಸ,2022-05-21,2
kn.wikipedia,ಆಯಾಸ,2022-05-22,0
kn.wikipedia,ಆಯಾಸ,2022-05-23,0
kn.wikipedia,ಆಯಾಸ,2022-05-24,1
kn.wikipedia,ಆಯಾಸ,2022-05-25,0
kn.wikipedia,ಆಯಾಸ,2022-05-26,2
kn.wikipedia,ಆಯಾಸ,2022-05-27,3
kn.wikipedia,ಆಯಾಸ,2022-05-28,0
kn.wikipedia,ಆಯಾಸ,2022-05-29,1
kn.wikipedia,ಆಯಾಸ,2022-05-30,0
kn.wikipedia,ಆಯಾಸ,2022-05-31,0
kn.wikipedia,ಆಯಾಸ,2022-06-01,0
kn.wikipedia,ಆಯಾಸ,2022-06-02,2
kn.wikipedia,ಆಯಾಸ,2022-06-03,1
kn.wikipedia,ಆಯಾಸ,2022-06-04,1
kn.wikipedia,ಆಯಾಸ,2022-06-05,1
kn.wikipedia,ಆಯಾಸ,2022-06-06,1
kn.wikipedia,ಆಯಾಸ,2022-06-07,0
kn.wikipedia,ಆಯಾಸ,2022-06-08,1
kn.wikipedia,ಆಯಾಸ,2022-06-09,1
kn.wikipedia,ಆಯಾಸ,2022-06-10,0
kn.wikipedia,ಆಯಾಸ,2022-06-11,0
kn.wikipedia,ಆಯಾಸ,2022-06-12,0
kn.wikipedia,ಆಯಾಸ,2022-06-13,1
kn.wikipedia,ಆಯಾಸ,2022-06-14,0
kn.wikipedia,ಆಯಾಸ,2022-06-15,9
kn.wikipedia,ಆಯಾಸ,2022-06-16,0
kn.wikipedia,ಆಯಾಸ,2022-06-17,3
kn.wikipedia,ಆಯಾಸ,2022-06-18,0
kn.wikipedia,ಆಯಾಸ,2022-06-19,4
kn.wikipedia,ಆಯಾಸ,2022-06-20,0
kn.wikipedia,ಆಯಾಸ,2022-06-21,0
kn.wikipedia,ಆಯಾಸ,2022-06-22,0
kn.wikipedia,ಆಯಾಸ,2022-06-23,0
kn.wikipedia,ಆಯಾಸ,2022-06-24,0
kn.wikipedia,ಆಯಾಸ,2022-06-25,1
kn.wikipedia,ಆಯಾಸ,2022-06-26,0
kn.wikipedia,ಆಯಾಸ,2022-06-27,2
kn.wikipedia,ಆಯಾಸ,2022-06-28,0
kn.wikipedia,ಆಯಾಸ,2022-06-29,0
kn.wikipedia,ಆಯಾಸ,2022-06-30,1
kn.wikipedia,ಆಯಾಸ,2022-07-01,2
kn.wikipedia,ಆಯಾಸ,2022-07-02,0
kn.wikipedia,ಆಯಾಸ,2022-07-03,0
kn.wikipedia,ಆಯಾಸ,2022-07-04,1
kn.wikipedia,ಆಯಾಸ,2022-07-05,0
kn.wikipedia,ಆಯಾಸ,2022-07-06,4
kn.wikipedia,ಆಯಾಸ,2022-07-07,2
